movie_name,year_released,runtime_in_min,genre,revenues,imdb_rating,user_votes,director,actor
Gladiator,2000,155,"Action, Adventure, Drama",187705427.0,8.5,1295546,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Memento,2000,113,"Mystery, Thriller",25544867.0,8.4,1088700,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
Snatch,2000,104,"Comedy, Crime",30328156.0,8.3,760646,Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina"
Requiem for a Dream,2000,102,Drama,3635482.0,8.3,742193,Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
X-Men,2000,104,"Action, Adventure, Sci-Fi",157299717.0,7.4,558716,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen"
Cast Away,2000,143,"Adventure, Drama, Romance",233632142.0,7.8,505434,Robert Zemeckis,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White"
American Psycho,2000,101,"Comedy, Crime, Drama",15070285.0,7.6,467017,Mary Harron,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
Unbreakable,2000,106,"Drama, Mystery, Sci-Fi",95011339.0,7.3,377418,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark"
Mission: Impossible II,2000,123,"Action, Adventure, Thriller",215409889.0,6.1,305909,John Woo,"Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames"
Meet the Parents,2000,108,"Comedy, Romance",166244045.0,7.0,304312,Jay Roach,"Ben Stiller, Robert De Niro, Teri Polo, Blythe Danner"
"O Brother, Where Art Thou?",2000,107,"Adventure, Comedy, Crime",45512588.0,7.7,276674,"Joel Coen, Ethan Coen","George Clooney, John Turturro, Tim Blake Nelson, John Goodman"
Gone in Sixty Seconds,2000,118,"Action, Crime, Thriller",101648571.0,6.5,255336,Dominic Sena,"Nicolas Cage, Angelina Jolie, Giovanni Ribisi, T.J. Cross"
The Patriot,2000,165,"Action, Drama, History",113330342.0,7.2,248749,Roland Emmerich,"Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs"
Wo hu cang long,2000,120,"Action, Adventure, Fantasy",128078872.0,7.8,248276,Ang Lee,"Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang"
Almost Famous,2000,122,"Adventure, Comedy, Drama",32534850.0,7.9,245339,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand"
Scary Movie,2000,88,Comedy,157019771.0,6.2,226495,Keenen Ivory Wayans,"Anna Faris, Jon Abrahams, Marlon Wayans, Carmen Electra"
Final Destination,2000,98,"Horror, Thriller",53331147.0,6.7,223140,James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke"
Pitch Black,2000,109,"Action, Horror, Sci-Fi",39240659.0,7.1,221231,David Twohy,"Radha Mitchell, Cole Hauser, Vin Diesel, Keith David"
The Beach,2000,119,"Adventure, Drama, Romance",39785027.0,6.7,217887,Danny Boyle,"Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon, Virginie Ledoyen"
"Me, Myself & Irene",2000,116,Comedy,90570999.0,6.6,217782,"Bobby Farrelly, Peter Farrelly","Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee"
Amores perros,2000,154,"Drama, Thriller",5383834.0,8.1,217564,Alejandro G. Iñárritu,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero"
How the Grinch Stole Christmas,2000,104,"Comedy, Family, Fantasy",260044825.0,6.2,197088,Ron Howard,"Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor"
Remember the Titans,2000,113,"Biography, Drama, Sport",115654751.0,7.8,192675,Boaz Yakin,"Denzel Washington, Will Patton, Wood Harris, Ryan Hurst"
Traffic,2000,147,"Crime, Drama, Thriller",124115725.0,7.6,192088,Steven Soderbergh,"Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas"
What Women Want,2000,127,"Comedy, Fantasy, Romance",182811707.0,6.4,187538,Nancy Meyers,"Mel Gibson, Helen Hunt, Marisa Tomei, Alan Alda"
Miss Congeniality,2000,109,"Action, Comedy, Crime",106807667.0,6.2,181185,Donald Petrie,"Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen"
Chocolat,2000,121,"Drama, Romance",71509363.0,7.2,174415,Lasse Hallström,"Juliette Binoche, Judi Dench, Alfred Molina, Carrie-Anne Moss"
The Emperor's New Groove,2000,78,"Animation, Adventure, Comedy",89302687.0,7.3,173318,Mark Dindal,"David Spade, John Goodman, Eartha Kitt, Patrick Warburton"
Chicken Run,2000,84,"Animation, Adventure, Comedy",106834564.0,7.0,172691,"Peter Lord, Nick Park","Mel Gibson, Julia Sawalha, Phil Daniels, Lynn Ferguson"
Charlie's Angels,2000,98,"Action, Adventure, Comedy",125305545.0,5.5,172421,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray"
Erin Brockovich,2000,131,"Biography, Drama",125595205.0,7.3,169081,Steven Soderbergh,"Julia Roberts, Albert Finney, David Brisbin, Dawn Didawick"
High Fidelity,2000,113,"Comedy, Drama, Music",27277055.0,7.5,164459,Todd Phillips,"Breckin Meyer, Seann William Scott, Amy Smart, Paulo Costanzo"
Road Trip,2000,93,Comedy,68540777.0,6.4,154443,Wolfgang Petersen,"George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane"
The Perfect Storm,2000,130,"Action, Adventure, Drama",182618434.0,6.4,152772,Danny Leiner,"Ashton Kutcher, Seann William Scott, Jennifer Garner, Marla Sokoloff"
"Dude, Where's My Car?",2000,83,"Comedy, Mystery, Sci-Fi",46729800.0,5.5,132361,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven"
Billy Elliot,2000,110,"Drama, Music",21995263.0,7.7,122764,Paul Verhoeven,"Kevin Bacon, Elisabeth Shue, Josh Brolin, Kim Dickens"
Hollow Man,2000,112,"Action, Horror, Sci-Fi",73209340.0,5.8,120727,Wes Craven,"David Arquette, Neve Campbell, Courteney Cox, Liev Schreiber"
Scream 3,2000,116,"Horror, Mystery",89138076.0,5.6,120176,Kar-Wai Wong,"Tony Chiu-Wai Leung, Maggie Cheung, Ping Lam Siu, Tung Cho 'Joe' Cheung"
Fa yeung nin wah,2000,98,"Drama, Romance",2734044.0,8.1,117280,Tom Dey,"Jackie Chan, Owen Wilson, Lucy Liu, Brandon Merrill"
Shanghai Noon,2000,110,"Action, Adventure, Comedy",56937502.0,6.6,116788,Robert Zemeckis,"Harrison Ford, Michelle Pfeiffer, Katharine Towne, Miranda Otto"
What Lies Beneath,2000,130,"Drama, Fantasy, Horror",155464351.0,6.6,115263,Roger Spottiswoode,"Arnold Schwarzenegger, Michael Rapaport, Tony Goldwyn, Michael Rooker"
The 6th Day,2000,123,"Action, Mystery, Sci-Fi",34604280.0,5.9,114394,Mimi Leder,"Kevin Spacey, Haley Joel Osment, Helen Hunt, Jay Mohr"
Pay It Forward,2000,123,Drama,33519628.0,7.2,110769,George Tillman Jr.,"Cuba Gooding Jr., Robert De Niro, Charlize Theron, Aunjanue Ellis"
The Whole Nine Yards,2000,98,"Comedy, Crime",57262492.0,6.7,107781,David McNally,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello"
Men of Honor,2000,129,"Biography, Drama",48818921.0,7.2,104791,Brett Ratner,"Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven"
Coyote Ugly,2000,100,"Comedy, Drama, Music",60786269.0,5.7,104595,Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare"
The Family Man,2000,125,"Comedy, Drama, Fantasy",75793305.0,6.8,100701,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Dancer in the Dark,2000,140,"Crime, Drama, Musical",4184036.0,8.0,99246,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior"
The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama",315544750.0,8.8,1606070,Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts, Matt Damon"
A Beautiful Mind,2001,135,"Biography, Drama",170742341.0,8.2,820476,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger"
"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy",289916256.0,8.0,788665,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana"
Donnie Darko,2001,113,"Drama, Mystery, Sci-Fi",1480006.0,8.0,724159,Rob Cohen,"Vin Diesel, Paul Walker, Michelle Rodriguez, Jordana Brewster"
Amélie,2001,122,"Comedy, Romance",33225499.0,8.3,685907,Alejandro Amenábar,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann"
Harry Potter and the Sorcerer's Stone,2001,152,"Adventure, Family, Fantasy",317575550.0,7.6,617504,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates"
Sen to Chihiro no kamikakushi,2001,125,"Animation, Adventure, Family",10055859.0,8.6,616627,Michael Bay,"Ben Affleck, Kate Beckinsale, Josh Hartnett, William Lee Scott"
Shrek,2001,90,"Animation, Adventure, Comedy",267665011.0,7.8,595771,Stephen Sommers,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo"
Ocean's Eleven,2001,116,"Crime, Thriller",183417150.0,7.7,500199,Joe Johnston,"Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola"
Training Day,2001,122,"Crime, Drama, Thriller",76631907.0,7.7,377755,Steven Spielberg,"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards"
Black Hawk Down,2001,144,"Drama, History, War",108638745.0,7.7,355749,Wes Anderson,"Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller"
The Fast and the Furious,2001,106,"Action, Crime, Thriller",144533925.0,6.8,338317,Ridley Scott,"Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta"
The Others,2001,101,"Horror, Mystery, Thriller",96522687.0,7.6,328250,Cameron Crowe,"Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell"
Mulholland Dr.,2001,147,"Drama, Mystery, Thriller",7220243.0,8.0,309245,Ben Stiller,"Ben Stiller, Owen Wilson, Christine Taylor, Will Ferrell"
Pearl Harbor,2001,183,"Action, Drama, History",198542554.0,6.2,305164,Jean-Jacques Annaud,"Jude Law, Ed Harris, Joseph Fiennes, Rachel Weisz"
The Mummy Returns,2001,130,"Action, Adventure, Fantasy",202019785.0,6.3,294871,J.B. Rogers,"Jason Biggs, Seann William Scott, Shannon Elizabeth, Alyson Hannigan"
Jurassic Park III,2001,92,"Action, Adventure, Sci-Fi",181171875.0,5.9,288472,Ted Demme,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths"
A.I. Artificial Intelligence,2001,146,"Drama, Sci-Fi",78616689.0,7.2,284856,Sharon Maguire,"Renée Zellweger, Colin Firth, Hugh Grant, Gemma Jones"
Moulin Rouge!,2001,127,"Drama, Musical, Romance",57386607.0,7.6,261370,Tim Burton,"Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan"
The Royal Tenenbaums,2001,110,"Comedy, Drama",52364010.0,7.6,258998,Brett Ratner,"Jackie Chan, Chris Tucker, John Lone, Ziyi Zhang"
Hannibal,2001,131,"Crime, Drama, Thriller",165092268.0,6.8,247969,Simon West,"Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor"
Vanilla Sky,2001,136,"Fantasy, Mystery, Romance",100614858.0,6.9,242729,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis"
Zoolander,2001,90,Comedy,45172250.0,6.5,241114,Dominic Sena,"John Travolta, Hugh Jackman, Halle Berry, Don Cheadle"
Enemy at the Gates,2001,131,"Drama, History, War",51401758.0,7.6,236371,Iain Softley,"Kevin Spacey, Jeff Bridges, Mary McCormack, Alfre Woodard"
American Pie 2,2001,108,Comedy,145103595.0,6.4,234852,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell, Shannyn Sossamon"
Blow,2001,124,"Biography, Crime, Drama",52990775.0,7.6,234798,Kevin Smith,"Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson"
Bridget Jones's Diary,2001,97,"Comedy, Drama, Romance",71543427.0,6.7,218418,"Albert Hughes, Allen Hughes","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane"
Planet of the Apes,2001,119,"Action, Adventure, Sci-Fi",180011740.0,5.7,207021,Tony Scott,"Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane"
