antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'Comedy', 'Action, Adventure, Comedy'})","frozenset({'Comedy, Drama'})",0.016778523489932886,0.053691275167785234,0.010067114093959731,0.6,11.175,0.009166253772352596,2.3657718120805367
"frozenset({'Comedy, Drama'})","frozenset({'Comedy', 'Action, Adventure, Comedy'})",0.053691275167785234,0.016778523489932886,0.010067114093959731,0.1875,11.175,0.009166253772352596,1.2101187403200826
"frozenset({'Comedy, Drama', 'Comedy'})","frozenset({'Action, Adventure, Comedy'})",0.013422818791946308,0.07046979865771812,0.010067114093959731,0.75,10.642857142857144,0.009121210756272239,3.7181208053691277
"frozenset({'Action, Adventure, Comedy'})","frozenset({'Comedy, Drama', 'Comedy'})",0.07046979865771812,0.013422818791946308,0.010067114093959731,0.14285714285714285,10.642857142857142,0.009121210756272239,1.1510067114093958
"frozenset({'Comedy, Crime, Drama'})","frozenset({'Comedy, Drama, Romance'})",0.020134228187919462,0.08053691275167785,0.010067114093959731,0.5,6.208333333333334,0.008445565515066889,1.8389261744966443
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Comedy, Crime, Drama'})",0.08053691275167785,0.020134228187919462,0.010067114093959731,0.125,6.208333333333334,0.008445565515066889,1.1198465963566635
"frozenset({'Drama, Mystery, Sci-Fi'})","frozenset({'Comedy, Drama'})",0.030201342281879196,0.053691275167785234,0.010067114093959731,0.3333333333333333,6.208333333333333,0.008445565515066889,1.419463087248322
"frozenset({'Comedy, Drama'})","frozenset({'Drama, Mystery, Sci-Fi'})",0.053691275167785234,0.030201342281879196,0.010067114093959731,0.1875,6.208333333333333,0.008445565515066889,1.1935983479607641
"frozenset({'Comedy, Crime'})",frozenset({'Comedy'}),0.020134228187919462,0.08389261744966443,0.010067114093959731,0.5,5.96,0.008378000990946353,1.832214765100671
"frozenset({'Comedy, Drama', 'Action, Adventure, Comedy'})",frozenset({'Comedy'}),0.020134228187919462,0.08389261744966443,0.010067114093959731,0.5,5.96,0.008378000990946353,1.832214765100671
frozenset({'Comedy'}),"frozenset({'Comedy, Crime'})",0.08389261744966443,0.020134228187919462,0.010067114093959731,0.11999999999999998,5.959999999999999,0.008378000990946353,1.113483831604637
frozenset({'Comedy'}),"frozenset({'Comedy, Drama', 'Action, Adventure, Comedy'})",0.08389261744966443,0.020134228187919462,0.010067114093959731,0.11999999999999998,5.959999999999999,0.008378000990946353,1.113483831604637
"frozenset({'Action, Crime, Drama'})","frozenset({'Comedy, Drama, Romance'})",0.050335570469798654,0.08053691275167785,0.02348993288590604,0.46666666666666673,5.794444444444445,0.019436061438673935,1.7239932885906044
"frozenset({'Comedy, Drama, Romance'})","frozenset({'Action, Crime, Drama'})",0.08053691275167785,0.050335570469798654,0.02348993288590604,0.2916666666666667,5.794444444444445,0.019436061438673935,1.3407027240426375
"frozenset({'Comedy, Drama'})","frozenset({'Biography, Drama'})",0.053691275167785234,0.03355704697986577,0.010067114093959731,0.1875,5.5875,0.008265393450745461,1.1894682498709346
"frozenset({'Biography, Drama'})","frozenset({'Comedy, Drama'})",0.03355704697986577,0.053691275167785234,0.010067114093959731,0.3,5.5875,0.008265393450745461,1.351869606903164
"frozenset({'Horror, Mystery, Thriller'})","frozenset({'Action, Crime, Drama'})",0.03691275167785235,0.050335570469798654,0.010067114093959731,0.2727272727272727,5.418181818181818,0.008209089680645015,1.3057885906040267
"frozenset({'Action, Crime, Drama'})","frozenset({'Horror, Mystery, Thriller'})",0.050335570469798654,0.03691275167785235,0.010067114093959731,0.2,5.418181818181818,0.008209089680645015,1.2038590604026844
"frozenset({'Comedy, Drama'})","frozenset({'Action, Adventure, Comedy'})",0.053691275167785234,0.07046979865771812,0.020134228187919462,0.375,5.321428571428572,0.016350614837169496,1.4872483221476511
"frozenset({'Action, Adventure, Comedy'})","frozenset({'Comedy, Drama'})",0.07046979865771812,0.053691275167785234,0.020134228187919462,0.2857142857142857,5.321428571428571,0.016350614837169496,1.3248322147651006
"frozenset({'Biography, Drama'})","frozenset({'Comedy, Romance'})",0.03355704697986577,0.05704697986577181,0.010067114093959731,0.3,5.258823529411765,0.00815278591054457,1.3470757430488975
"frozenset({'Comedy, Romance'})","frozenset({'Biography, Drama'})",0.05704697986577181,0.03355704697986577,0.010067114093959731,0.1764705882352941,5.258823529411764,0.00815278591054457,1.1735378715244489
frozenset({'Drama'}),"frozenset({'Action, Crime, Thriller'})",0.050335570469798654,0.05704697986577181,0.013422818791946308,0.26666666666666666,4.674509803921569,0.010551326516823566,1.2858450274557656
"frozenset({'Action, Crime, Thriller'})",frozenset({'Drama'}),0.05704697986577181,0.050335570469798654,0.013422818791946308,0.23529411764705882,4.674509803921569,0.010551326516823566,1.241868869385648
